"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100634-Z_56098_STOP","037A07","AC 3 - KR 60","4.621107","-74.120938","0","","0","","","","0","",""
"100634-Z_56944_STOP","075A00","AC 45 - KR 8","4.631664","-74.06537","0","","0","","","","0","",""
"100634-Z_57759_STOP","554A00","AC 53 - KR 3","4.638734","-74.060993","0","","0","","","","0","",""
"100634-Z_57760_STOP","555A00","AC 53 - KR 4","4.638903","-74.061075","0","","0","","","","0","",""
"100634-Z_56930_STOP","057A00","AC 53 - KR 9","4.639661","-74.063859","0","","0","","","","0","",""
"100634-Z_56929_STOP","056A00","AC 53 - KR 9","4.639882","-74.063905","0","","0","","","","0","",""
"100634-Z_56932_STOP","059A00","AC 6 - AK 27","4.604504","-74.09575","0","","0","","","","0","",""
"100634-Z_56092_STOP","031A07","AC 6 - AK 30","4.60729","-74.099397","0","","0","","","","0","",""
"100634-Z_56834_STOP","008A00","AC 6 - AK 30","4.605983","-74.096826","0","","0","","","","0","",""
"100634-Z_56889_STOP","043A00","AC 6 - KR 15","4.59784","-74.085658","0","","0","","","","0","",""
"100634-Z_56888_STOP","042A00","AC 6 - KR 19","4.600838","-74.089879","0","","0","","","","0","",""
"100634-Z_56934_STOP","061A00","AC 6 - KR 19","4.600256","-74.089888","0","","0","","","","0","",""
"100634-Z_56935_STOP","062A00","AC 6 - KR 22","4.602164","-74.092571","0","","0","","","","0","",""
"100634-Z_57632_STOP","388A00","AC 6 - KR 23","4.602754","-74.092604","0","","0","","","","0","",""
"100634-Z_56931_STOP","058A00","AC 6 - KR 26","4.60432","-74.094783","0","","0","","","","0","",""
"100634-Z_55716_STOP","414A13","AC 6 - KR 2a","4.590139","-74.074156","0","","0","","","","0","",""
"100634-Z_55715_STOP","413A13","AC 6 - KR 2a","4.58977","-74.074966","0","","0","","","","0","",""
"100634-Z_56319_STOP","115A07","AC 6 - KR 32","4.60874","-74.100246","0","","0","","","","0","",""
"100634-Z_56297_STOP","113A07","AC 6 - KR 38","4.61435","-74.105163","0","","0","","","","0","",""
"100634-Z_56744_STOP","384A07","AC 6 - KR 38","4.615172","-74.104895","0","","0","","","","0","",""
"100634-Z_56295_STOP","111A07","AC 6 - KR 38","4.613209","-74.10406","0","","0","","","","0","",""
"100634-Z_56296_STOP","112A07","AC 6 - KR 40","4.615688","-74.105568","0","","0","","","","0","",""
"100634-Z_56294_STOP","110A07","AC 6 - KR 41","4.617526","-74.105966","0","","0","","","","0","",""
"100634-Z_56091_STOP","030A07","AC 6 - TV 44","4.620936","-74.106441","0","","0","","","","0","",""
"100634-Z_56199_STOP","092A07","AC 6 - TV 47","4.623028","-74.10676","0","","0","","","","0","",""
"100634-Z_56292_STOP","108A07","AC 6 - TV 49","4.625548","-74.107151","0","","0","","","","0","",""
"100634-Z_56919_STOP","046A00","AC 63 - KR 8","4.648154","-74.060429","0","","0","","","","0","",""
"100634-Z_56106_STOP","048A07","AC 8 - KR 73","4.637494","-74.139324","0","","0","","","","0","",""
"100634-Z_56105_STOP","047A07","AC 8 - KR 73","4.637244","-74.139544","0","","0","","","","0","",""
"100634-Z_56618_STOP","335A07","AC 8 - KR 84","4.645211","-74.150159","0","","0","","","","0","",""
"100634-Z_57499_STOP","294A00","AC 82 - KR 9","4.665552","-74.050858","0","","0","","","","0","",""
"100634-Z_57710_STOP","871A00","AC 94 - KR 9","4.675708","-74.04322","0","","0","","","","0","",""
"100634-Z_54053_STOP","444A12","AK 10 - AC 1","4.588895","-74.085318","0","","0","","","","0","",""
"100634-Z_55950_STOP","526A13","AK 10 - AC 1","4.588716","-74.085072","0","","0","","","","0","",""
"100634-Z_57843_STOP","813A00","AK 10 - CL 2","4.591681","-74.083537","0","","0","","","","0","",""
"100634-Z_55951_STOP","527A13","AK 10 - CL 2","4.591546","-74.083175","0","","0","","","","0","",""
"100634-Z_57899_STOP","676A00","AK 10 - CL 4","4.593789","-74.081747","0","","0","","","","0","",""
"100634-Z_57864_STOP","784A00","AK 10 - CL 7","4.596323","-74.080176","0","","0","","","","0","",""
"100634-Z_56940_STOP","068A00","AK 10 - CL 7","4.596443","-74.080406","0","","0","","","","0","",""
"100634-Z_57822_STOP","790A00","AK 10 - CL 9","4.598677","-74.079098","0","","0","","","","0","",""
"100634-Z_57865_STOP","785A00","AK 10 - CL 9","4.598533","-74.07873","0","","0","","","","0","",""
"100634-Z_57504_STOP","299A00","AK 15 - 72-9","4.659778","-74.061084","0","","0","","","","0","",""
"100634-Z_51820_STOP","011A11","AK 21 - AC 1","4.593455","-74.096343","0","","0","","","","0","",""
"100634-Z_56836_STOP","010A00","AK 27 - AC 6","4.6054","-74.094696","0","","0","","","","0","",""
"100634-Z_56837_STOP","010B00","AK 27 - CL 6","4.605932","-74.094309","0","","0","","","","0","",""
"100634-Z_57547_STOP","322A00","AK 27 - CL 9","4.608644","-74.092144","0","","0","","","","0","",""
"100634-Z_53829_STOP","108A08","AK 50 - CL 1","4.607978","-74.118147","0","","0","","","","0","",""
"100634-Z_53710_STOP","050A08","AK 50 - CL 1","4.608304","-74.118249","0","","0","","","","0","",""
"100634-Z_56044_STOP","008A07","AK 50 - CL 3","4.616163","-74.114014","0","","0","","","","0","",""
