"fare_id","route_id","origin_id","destination_id","contains_id"
"100634-3","100634-Z_7737","0","",""
"100634-3","100634-Z_4509","0","",""
"100634-3","100634-Z_4509","0","",""
"100634-3","100634-Z_7002","0","",""
"100634-3","100634-Z_7002-2","0","",""
"100634-3","100634-Z_7230","0","",""
"100634-3","100634-Z_7231","0","",""
"100634-3","100634-Z_6845-2","0","",""
"100634-3","100634-Z_6845","0","",""
"100634-3","100634-Z_7738","0","",""
"100634-3","100634-Z_7738","0","",""
"100634-3","100634-Z_7012","0","",""
"100634-3","100634-Z_7012","0","",""
"100634-3","100634-Z_7012","0","",""
"100634-3","100634-Z_7012","0","",""
"100634-3","100634-Z_6718-2","0","",""
"100634-3","100634-Z_6718","0","",""
"100634-3","100634-Z_6718","0","",""
"100634-3","100634-Z_6718-2","0","",""
"100634-3","100634-Z_5658","0","",""
"100634-3","100634-Z_5659-2","0","",""
"100634-3","100634-Z_5658-2","0","",""
"100634-3","100634-Z_5658","0","",""
"100634-3","100634-Z_4457","0","",""
"100634-3","100634-Z_4457","0","",""
"100634-3","100634-Z_7419-2","0","",""
"100634-3","100634-Z_7419-2","0","",""
"100634-3","100634-Z_7089","0","",""
"100634-3","100634-Z_7089-2","0","",""
"100634-3","100634-Z_7257","0","",""
"100634-3","100634-Z_7257","0","",""
"100634-3","100634-Z_7257","0","",""
"100634-3","100634-Z_7257","0","",""
"100634-3","100634-Z_7088","0","",""
"100634-3","100634-Z_7088","0","",""
"100634-3","100634-Z_6714","0","",""
"100634-3","100634-Z_6714","0","",""
"100634-3","100634-Z_6714","0","",""
"100634-3","100634-Z_6714","0","",""
"100634-3","100634-Z_6191-2","0","",""
"100634-3","100634-Z_6191-2","0","",""
"100634-3","100634-Z_6191-2","0","",""
"100634-3","100634-Z_6191-2","0","",""
"100634-3","100634-Z_5069","0","",""
"100634-3","100634-Z_5980-2","0","",""
"100634-3","100634-Z_5980-2","0","",""
"100634-3","100634-Z_5440","0","",""
"100634-3","100634-Z_5440","0","",""
"100634-3","100634-Z_7704","0","",""
"100634-3","100634-Z_7704-2","0","",""
"100634-3","100634-Z_6706-2","0","",""
"100634-3","100634-Z_6706-2","0","",""
"100634-3","100634-Z_6706","0","",""
"100634-3","100634-Z_6706","0","",""
"100634-3","100634-Z_7574","0","",""
"100634-3","100634-Z_7574","0","",""
"100634-3","100634-Z_7574","0","",""
"100634-3","100634-Z_7574","0","",""
"100634-3","100634-Z_7249","0","",""
"100634-3","100634-Z_7249","0","",""
"100634-3","100634-Z_7024","0","",""
"100634-3","100634-Z_7024","0","",""
"100634-3","100634-Z_7024","0","",""
"100634-3","100634-Z_7024","0","",""
"100634-3","100634-Z_7024","0","",""
"100634-3","100634-Z_7024","0","",""
"100634-3","100634-Z_7610","0","",""
"100634-3","100634-Z_6174-2","0","",""
"100634-3","100634-Z_6174-2","0","",""
"100634-3","100634-Z_4993","0","",""
"100634-3","100634-Z_4992","0","",""
"100634-3","100634-Z_4994","0","",""
"100634-3","100634-Z_7891","0","",""
"100634-3","100634-Z_7891","0","",""
"100634-3","100634-Z_7070-2","0","",""
"100634-3","100634-Z_7070-2","0","",""
"100634-3","100634-Z_7070-2","0","",""
"100634-3","100634-Z_7070-2","0","",""
"100634-3","100634-Z_7398-2","0","",""
"100634-3","100634-Z_7397","0","",""
"100634-3","100634-Z_7397","0","",""
"100634-3","100634-Z_7398-2","0","",""
"100634-3","100634-Z_7440","0","",""
"100634-3","100634-Z_7440","0","",""
"100634-3","100634-Z_7440","0","",""
"100634-3","100634-Z_7440","0","",""
"100634-3","100634-Z_7440","0","",""
"100634-3","100634-Z_7440","0","",""
"100634-3","100634-Z_7470","0","",""
"100634-3","100634-Z_7471-2","0","",""
"100634-3","100634-Z_7470","0","",""
"100634-3","100634-Z_7471-2","0","",""
"100634-3","100634-Z_5708","0","",""
"100634-3","100634-Z_5708","0","",""
"100634-3","100634-Z_7732","0","",""
"100634-3","100634-Z_7732-2","0","",""
"100634-3","100634-Z_6741-2","0","",""
"100634-3","100634-Z_4741","0","",""
"100634-3","100634-Z_6741-2","0","",""
"100634-3","100634-Z_4741","0","",""
"100634-3","100634-Z_6260","0","",""
"100634-3","100634-Z_6260","0","",""
"100634-3","100634-Z_5186","0","",""
"100634-3","100634-Z_5187","0","",""
"100634-3","100634-Z_5188-2","0","",""
"100634-3","100634-Z_5188-2","0","",""
"100634-3","100634-Z_5188-2","0","",""
"100634-3","100634-Z_6012-2","0","",""
"100634-3","100634-Z_6012","0","",""
"100634-3","100634-Z_7003","0","",""
"100634-3","100634-Z_7003","0","",""
"100634-3","100634-Z_7003","0","",""
"100634-3","100634-Z_6135","0","",""
"100634-3","100634-Z_6135","0","",""
"100634-3","100634-Z_6135","0","",""
"100634-3","100634-Z_6135","0","",""
"100634-3","100634-Z_5946-2","0","",""
"100634-3","100634-Z_5946","0","",""
"100634-3","100634-Z_5718","0","",""
"100634-3","100634-Z_5718","0","",""
"100634-3","100634-Z_7546-2","0","",""
"100634-3","100634-Z_7546-2","0","",""
"100634-3","100634-Z_5713","0","",""
"100634-3","100634-Z_5714","0","",""
"100634-3","100634-Z_6673","0","",""
"100634-3","100634-Z_6673-2","0","",""
"100634-3","100634-Z_6543","0","",""
"100634-3","100634-Z_6543-2","0","",""
"100634-3","100634-Z_6543-2","0","",""
"100634-3","100634-Z_6543-2","0","",""
"100634-3","100634-Z_5615","0","",""
"100634-3","100634-Z_5619","0","",""
"100634-3","100634-Z_5619-2","0","",""
"100634-3","100634-Z_6017","0","",""
"100634-3","100634-Z_6017-2","0","",""
"100634-3","100634-Z_5626","0","",""
"100634-3","100634-Z_5632","0","",""
"100634-3","100634-Z_5632","0","",""
"100634-3","100634-Z_6223","0","",""
"100634-3","100634-Z_6223-2","0","",""
"100634-3","100634-Z_5646","0","",""
"100634-3","100634-Z_5131","0","",""
"100634-3","100634-Z_5606-2","0","",""
"100634-3","100634-Z_5606","0","",""
"100634-3","100634-Z_7887","0","",""
"100634-3","100634-Z_6067-2","0","",""
"100634-3","100634-Z_6067-2","0","",""
"100634-3","100634-Z_5611-2","0","",""
"100634-3","100634-Z_5611","0","",""
"100634-3","100634-Z_5613","0","",""
"100634-3","100634-Z_5613-2","0","",""
"100634-3","100634-Z_4930-2","0","",""
"100634-3","100634-Z_4930","0","",""
"100634-3","100634-Z_4930","0","",""
"100634-3","100634-Z_4930-2","0","",""
"100634-3","100634-Z_4848-2","0","",""
"100634-3","100634-Z_4848-2","0","",""
"100634-3","100634-Z_5358-2","0","",""
"100634-3","100634-Z_5358-2","0","",""
"100634-3","100634-Z_5908","0","",""
"100634-3","100634-Z_5908-2","0","",""
"100634-3","100634-Z_4475-2","0","",""
"100634-3","100634-Z_4475-2","0","",""
"100634-3","100634-Z_7810","0","",""
"100634-3","100634-Z_7809","0","",""
"100634-3","100634-Z_7248","0","",""
"100634-3","100634-Z_7248","0","",""
"100634-3","100634-Z_4997-2","0","",""
"100634-3","100634-Z_4997-2","0","",""
"100634-3","100634-Z_4538","0","",""
"100634-3","100634-Z_4538","0","",""
"100634-3","100634-Z_7818","0","",""
"100634-3","100634-Z_6066","0","",""
"100634-3","100634-Z_7261","0","",""
"100634-3","100634-Z_7261","0","",""
"100634-3","100634-Z_7261","0","",""
"100634-3","100634-Z_7261","0","",""
"100634-3","100634-Z_7261","0","",""
"100634-3","100634-Z_7261","0","",""
