route_id,service_id,trip_id,shape_id
Z_5637-2,1,BCGZ80001-02-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-03-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-03-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-04-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-04-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-05-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-05-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-06-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-06-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-07-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-07-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-08-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-08-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-09-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-09-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-10-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-10-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-11-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-11-1_Z_5637-2,Z_5637-2
Z_5637,1,BCGZ80001-12-1_Z_5637,Z_5637
Z_5637-2,1,BCGZ80001-12-1_Z_5637-2,Z_5637-2
Z_6677,3,BCH420001-02-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-02-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-03-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-03-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-04-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-04-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-05-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-05-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-06-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-06-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-07-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-07-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-08-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-08-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-09-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-09-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-10-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-10-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-11-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-11-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-12-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-12-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-13-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-13-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-14-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-14-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-15-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-15-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-18-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-18-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-19-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-19-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-20-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-20-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-21-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-21-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-22-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-22-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-23-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-23-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-24-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-24-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-25-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-25-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-26-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-26-3_Z_6677-2,Z_6677-2
Z_6677,3,BCH420001-27-3_Z_6677,Z_6677
Z_6677-2,3,BCH420001-27-3_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-02-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-02-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-03-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-03-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-04-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-04-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-05-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-05-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-06-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-06-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-07-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-07-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-08-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-08-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-09-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-09-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-10-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-10-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-11-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-11-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-12-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-12-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-13-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-13-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-14-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-14-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-15-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-15-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-18-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-18-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-19-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-19-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-20-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-20-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-21-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-21-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-22-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-22-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-23-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-23-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-24-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-24-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-25-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-25-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-26-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-26-7_Z_6677-2,Z_6677-2
Z_6677,7,BCH430001-27-7_Z_6677,Z_6677
Z_6677-2,7,BCH430001-27-7_Z_6677-2,Z_6677-2
Z_7804,3,BCH4F0001-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-21-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-23-3_Z_7804,Z_7804
Z_7804,3,BCH4F0001-24-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-21-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-23-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-24-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-25-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-26-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-27-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-28-3_Z_7804,Z_7804
Z_7804,3,BCH4F0002-29-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-21-3_Z_7804,Z_7804
